"","sampProp","sampN","diagNMI","ageNMI","sexNMI","diagProp","ageProp","sexProp","diagAgree","ageAgree","sexAgree"
"3934",0.6,155,0.033202461844896,0.180156366777623,0.231474691389527,0.101877289377289,0.341346153846154,0.224358974358974,0.861263736263736,0.822802197802198,0.884615384615385
"3935",0.6,155,0.0511980035433949,0.19035300665277,0.174535306798716,0.0966117216117216,0.350274725274725,0.217261904761905,0.878205128205128,0.823260073260073,0.861263736263736
"3936",0.6,155,0.0545920877668104,0.206578571286598,0.18779103585849,0.0975274725274725,0.334935897435897,0.215888278388278,0.879120879120879,0.841117216117216,0.867673992673993
"3937",0.6,155,0.0244988545233966,0.149265784197889,0.20317672257669,0.0908882783882784,0.336767399267399,0.218177655677656,0.867673992673993,0.80540293040293,0.874084249084249
"3938",0.6,155,0.0484194961969832,0.17720711702696,0.176812259853723,0.0982142857142857,0.333791208791209,0.215659340659341,0.875,0.825091575091575,0.862637362637363
"3939",0.6,155,0.0427258481418273,0.196588193211031,0.200218905898872,0.0892857142857143,0.326465201465201,0.218864468864469,0.880952380952381,0.83974358974359,0.872710622710623
"3940",0.6,155,0.0547222644080816,0.164391755475569,0.185533653911825,0.0885989010989011,0.32760989010989,0.226190476190476,0.887820512820513,0.820054945054945,0.864468864468865
"3941",0.6,155,0.065467821324106,0.190923010228206,0.18857723451783,0.0966117216117216,0.324404761904762,0.226419413919414,0.885531135531135,0.837454212454212,0.865842490842491
"3942",0.6,155,0.0100697148664029,0.194959104769122,0.260978953176774,0.092032967032967,0.334249084249084,0.228937728937729,0.853479853479853,0.835164835164835,0.894688644688645
"3943",0.6,155,0.0298692774100696,0.223099697752175,0.19875786164734,0.0982142857142857,0.315705128205128,0.21771978021978,0.863095238095238,0.857600732600733,0.872252747252747
"3944",0.6,155,0.0607263993373709,0.171087597769836,0.147625708333916,0.097985347985348,0.338827838827839,0.22481684981685,0.881868131868132,0.818681318681319,0.845238095238095
"3945",0.6,155,0.0395390127821845,0.214509061226936,0.239806513416272,0.0902014652014652,0.326236263736264,0.210851648351648,0.878205128205128,0.849358974358974,0.888736263736264
"3946",0.6,155,0.0382131207480472,0.244212060888902,0.187857876742019,0.102106227106227,0.321886446886447,0.218864468864469,0.864468864468865,0.865384615384615,0.867216117216117
"3947",0.6,155,0.0148790102116695,0.211836410281055,0.203787245599381,0.0831043956043956,0.334935897435897,0.224587912087912,0.869505494505495,0.843864468864469,0.873168498168498
"3948",0.6,155,0.0531950135840085,0.187546425995478,0.228923637925682,0.103021978021978,0.330357142857143,0.223901098901099,0.872710622710623,0.832875457875458,0.883699633699634
"3949",0.6,155,0.0370430427409317,0.174024970338352,0.193343115480896,0.106227106227106,0.334478021978022,0.213598901098901,0.858974358974359,0.822802197802198,0.870421245421245
"3950",0.6,155,0.0515999041242298,0.173917317136974,0.214263465817118,0.095467032967033,0.339514652014652,0.226190476190476,0.879578754578755,0.820054945054945,0.877289377289377
"3951",0.6,155,0.0363884740085198,0.208749430598692,0.206085575957528,0.101419413919414,0.331730769230769,0.230311355311355,0.864010989010989,0.843864468864469,0.872710622710623
"3952",0.6,155,0.0216986705975246,0.187200084997192,0.209509906658187,0.0993589743589744,0.337225274725275,0.223214285714286,0.855311355311355,0.829212454212454,0.875915750915751
"3953",0.6,155,0.0721442115609804,0.184913047111912,0.258406943674374,0.0897435897435897,0.315247252747253,0.223443223443223,0.894688644688645,0.837454212454212,0.894688644688645
"3954",0.6,155,0.0282949157601007,0.150658741239849,0.266175967160573,0.100732600732601,0.332417582417582,0.234661172161172,0.858974358974359,0.808608058608059,0.89514652014652
"3955",0.6,155,0.0186509599600179,0.176179980542927,0.213066648463509,0.0817307692307692,0.322344322344322,0.245879120879121,0.874084249084249,0.82967032967033,0.86996336996337
"3956",0.6,155,0.0467329761390288,0.180446795958012,0.193235004755617,0.122252747252747,0.34775641025641,0.213141025641026,0.847069597069597,0.819139194139194,0.870421245421245
